:Predicted_Sunspot_Numbers_and_Radio_Flux: Predict.txt
:Created: 2014 Jul 07 0100 UTC
# Prepared by the U.S. Dept. of Commerce, NOAA, Space Weather Prediction Center (SWPC).
# Please send comments and suggestions to swpc.webmaster@noaa.gov
#
# Sunspot Number: S.I.D.C. Brussels International Sunspot Number.
# 10.7cm Radio Flux value: Penticton, B.C. Canada.
# Predicted values are based on the consensus of the Solar Cycle 24 Prediction Panel.
#
# See the README3 file for further information.
#
# Missing or not applicable data:  -1
#
#         Predicted Sunspot Number And Radio Flux Values
#                     With Expected Ranges
#
#         -----Sunspot Number------  ----10.7 cm Radio Flux----
# YR MO   PREDICTED    HIGH    LOW   PREDICTED    HIGH    LOW
#--------------------------------------------------------------
2014  1        77.7    78.7    76.7      137.1   138.1   136.1
2014  2        79.2    81.2    77.2      138.5   139.5   137.5
2014  3        81.4    84.4    78.4      140.3   142.3   138.3
2014  4        82.7    87.7    77.7      141.3   144.3   138.3
2014  5        82.2    87.2    77.2      140.3   144.3   136.3
2014  6        81.4    87.4    75.4      138.5   142.5   134.5
2014  7        80.2    87.2    73.2      136.2   141.2   131.2
2014  8        78.5    85.5    71.5      132.8   138.8   126.8
2014  9        76.2    84.2    68.2      129.6   136.6   122.6
2014 10        74.5    83.5    65.5      127.5   135.5   119.5
2014 11        73.3    82.3    64.3      126.0   134.0   118.0
2014 12        72.6    82.6    62.6      125.3   134.3   116.3
2015  1        71.6    81.6    61.6      124.4   133.4   115.4
2015  2        70.2    80.2    60.2      123.2   132.2   114.2
2015  3        68.7    78.7    58.7      121.7   130.7   112.7
2015  4        67.0    77.0    57.0      120.2   129.2   111.2
2015  5        65.4    75.4    55.4      118.7   127.7   109.7
2015  6        63.8    73.8    53.8      117.2   126.2   108.2
2015  7        62.1    72.1    52.1      115.7   124.7   106.7
2015  8        60.4    70.4    50.4      114.1   123.1   105.1
2015  9        58.7    68.7    48.7      112.6   121.6   103.6
2015 10        57.0    67.0    47.0      111.0   120.0   102.0
2015 11        55.3    65.3    45.3      109.5   118.5   100.5
2015 12        53.6    63.6    43.6      107.9   116.9    98.9
2016  1        51.9    61.9    41.9      106.3   115.3    97.3
2016  2        50.2    60.2    40.2      104.8   113.8    95.8
2016  3        48.5    58.5    38.5      103.2   112.2    94.2
2016  4        46.9    56.9    36.9      101.7   110.7    92.7
2016  5        45.2    55.2    35.2      100.2   109.2    91.2
2016  6        43.6    53.6    33.6       98.7   107.7    89.7
2016  7        42.0    52.0    32.0       97.2   106.2    88.2
2016  8        40.4    50.4    30.4       95.8   104.8    86.8
2016  9        38.8    48.8    28.8       94.3   103.3    85.3
2016 10        37.3    47.3    27.3       92.9   101.9    83.9
2016 11        35.7    45.7    25.7       91.5   100.5    82.5
2016 12        34.3    44.3    24.3       90.2    99.2    81.2
2017  1        32.8    42.8    22.8       88.8    97.8    79.8
2017  2        31.4    41.4    21.4       87.5    96.5    78.5
2017  3        30.0    40.0    20.0       86.3    95.3    77.3
2017  4        28.7    38.7    18.7       85.0    94.0    76.0
2017  5        27.4    37.4    17.4       83.8    92.8    74.8
2017  6        26.1    36.1    16.1       82.6    91.6    73.6
2017  7        24.9    34.9    14.9       81.5    90.5    72.5
2017  8        23.7    33.7    13.7       80.4    89.4    71.4
2017  9        22.5    32.5    12.5       79.3    88.3    70.3
2017 10        21.4    31.4    11.4       78.3    87.3    69.3
2017 11        20.3    30.3    10.3       77.3    86.3    68.3
2017 12        19.2    29.2     9.2       76.4    85.4    67.4
2018  1        18.2    28.2     8.2       75.4    84.4    66.4
2018  2        17.2    27.2     7.2       74.5    83.5    65.5
2018  3        16.3    26.3     6.3       73.7    82.7    64.7
2018  4        15.4    25.4     5.4       72.8    81.8    63.8
2018  5        14.5    24.5     4.5       72.1    81.1    63.1
2018  6        13.7    23.7     3.7       71.3    80.3    62.3
2018  7        12.9    22.9     2.9       70.6    79.6    61.6
2018  8        12.2    22.2     2.2       69.9    78.9    60.9
2018  9        11.5    21.5     1.5       69.2    78.2    60.2
2018 10        10.8    20.8     0.8       68.6    77.6    60.0
2018 11        10.1    20.1     0.1       68.0    77.0    60.0
2018 12         9.5    19.5     0.0       67.4    76.4    60.0
2019  1         8.9    18.9     0.0       66.9    75.9    60.0
2019  2         8.3    18.3     0.0       66.3    75.3    60.0
2019  3         7.8    17.8     0.0       65.9    74.9    60.0
2019  4         7.3    17.3     0.0       65.4    74.4    60.0
2019  5         6.8    16.8     0.0       65.0    74.0    60.0
2019  6         6.4    16.4     0.0       64.5    73.5    60.0
2019  7         5.9    15.9     0.0       64.1    73.1    60.0
2019  8         5.5    15.5     0.0       63.8    72.8    60.0
2019  9         5.1    15.1     0.0       63.4    72.4    60.0
2019 10         4.8    14.8     0.0       63.1    72.1    60.0
2019 11         4.4    14.4     0.0       62.8    71.8    60.0
2019 12         4.1    14.1     0.0       62.5    71.5    60.0
